,name,c2,files,pp_files,forked
0,puppet-zookeeper,0.0,0,0,1
1,vmware-firewall-driver,0.0,14,0,0
2,discovery,0.0,0,0,1
3,fuel-bootstrap-image-builder,0.0,0,0,1
4,fuel-agent,0.0,0,0,1
5,celebrer,0.0,36,0,0
6,celebrer-agent,0.0,17,0,0
7,celebrer-dashboard,0.0,22,0,0
8,python-celebrerclient,0.0,18,0,0
9,fuel-plugin-celebrer,0.5,30,15,0
10,solar-resources,0.17796610169491525,354,63,0
11,solar-agent,0.0,12,0,0
12,fuel-plugin-swift,0.23809523809523808,21,5,0
13,fuel-plugin-backup,0.18181818181818182,22,4,0
